title,modified_time,kategori,channel,merchant,lokasi,benefit,markdown_benefit,markdown_syarat_dan_ketentuan,syarat_dan_ketentuan,start,end,URL_Name,calltype,Article_Type,record_type
Food & Beverages,2024-06-14 15:18:33,Food & Beverages,Kartu Debit,Paul Le Cafe,Terminal 3 Domestik Soekarno Hatta,Free Compliment,Free Compliment,"1. Gratis 1 gelas kopi untuk kartu debit prioritas/hari/kartu berlaku setiap hari 
2. Gratis 2 gelas kopi untuk kartu debit private/hari/kartu berlaku setiap hari 
3. Cardholder akan di charge Rp1 sebanyak 1x untuk kartu debit prioritas
4. Cardholder akan di charge Rp1 sebanyak 2x untuk kartu debit private 
5. Berlaku di Paul Le Cafe Terminal 3 Domestik Soekarno Hatta 
6. Hanya berlaku untuk nasabah BRI Private dan BRI Prioritas","1. Gratis 1 gelas kopi untuk kartu debit prioritas/hari/kartu berlaku setiap hari 
2. Gratis 2 gelas kopi untuk kartu debit private/hari/kartu berlaku setiap hari 
3. Cardholder akan di charge Rp1 sebanyak 1x untuk kartu debit prioritas
4. Cardholder akan di charge Rp1 sebanyak 2x untuk kartu debit private 
5. Berlaku di Paul Le Cafe Terminal 3 Domestik Soekarno Hatta 
6. Hanya berlaku untuk nasabah BRI Private dan BRI Prioritas",2024-06-14 00:00:00,2024-12-31 00:00:00,PM-0000025,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-16 13:09:02,Food & Beverages,"Kartu Kredit,Kartu Debit",Maison Tatsuya Teppanyaki,Seluruh outlet Maison Tatsuya,Diskon 20%,Diskon 20%,"1. Minimal transaksi Rp750.000
2. Maksimal diskon Rp150.000
3. Berlaku Kartu Debit Britama Bisnis, Kartu Debit Prioritas, Kartu Debit Private dan Kartu Kredit Platinum, JCB Platinum, World Access, Infinite
4. Berlaku hari kamis-minggu
5. Berlaku di seluruh outlet Maison Tatsuya","1. Minimal transaksi Rp750.000
2. Maksimal diskon Rp150.000
3. Berlaku Kartu Debit Britama Bisnis, Kartu Debit Prioritas, Kartu Debit Private dan Kartu Kredit Platinum, JCB Platinum, World Access, Infinite
4. Berlaku hari kamis-minggu
5. Berlaku di seluruh outlet Maison Tatsuya",2024-06-16 00:00:00,2024-12-31 00:00:00,PM-0000026,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-19 11:18:10,Food & Beverages,"Kartu Kredit,Kartu Debit",Shaburi,Berlaku di outlet tertentu,Buy 2 Get 3,Buy 2 Get 3,"1. Berlaku setiap hari jumat, sabtu dan minggu
2. Berlaku untuk Kartu Debit BRI Prioritas, Private, & Bisnis Premium dan Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card","1. Berlaku setiap hari jumat, sabtu dan minggu
2. Berlaku untuk Kartu Debit BRI Prioritas, Private, & Bisnis Premium dan Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000027,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-19 11:19:45,Food & Beverages,Kartu Kredit,Shaburi,Berlaku di outlet tertentu,Diskon 20%,Diskon 20%,"1. Minimal transaksi Rp750.000
2. Berlaku setiap hari
3. Maksimal transaksi Rp200.000
4. Berlaku dengan menggunakan seluruh Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card","1. Minimal transaksi Rp750.000
2. Berlaku setiap hari
3. Maksimal transaksi Rp200.000
4. Berlaku dengan menggunakan seluruh Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000028,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-19 11:29:21,Food & Beverages,"Kartu Kredit,Kartu Debit",Pepper Lunch,Berlaku di outlet tertentu,Diskon 35%,Diskon 35%,"1. Minimal transaksi Rp350.000
2. Maksimal diskon Rp350.000
3. Berlaku setiap hari
4. Berlaku dengan menggunakan Kartu Debit BRI Prioritas, Private & Bisnis Premium dan Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card","1. Minimal transaksi Rp350.000
2. Maksimal diskon Rp350.000
3. Berlaku setiap hari
4. Berlaku dengan menggunakan Kartu Debit BRI Prioritas, Private & Bisnis Premium dan Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000029,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Seluruh jenis Kartu Debit BRI
2. Seluruh jenis Kartu Kredit BRI 
3. BRImo",Paul Le Cafe,Seluruh indonesia,Diskon 20% maks. Rp100.000,Diskon 20% maks. Rp100.000,"1. Min. transaksi Rp350.000
2. Berlaku setiap hari Senin - Jumat","1. Min. transaksi Rp350.000
2. Berlaku setiap hari Senin - Jumat",2023-11-06 00:00:00,2024-10-31 00:00:00,PM-0000030,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Kartu Debit BRI Prioritas, Private, & Bisnis Premium 
2. Kartu Kredit BRI World Access dan Infinite (kecuali Corporate Card)",Kintan Buffet,"Berlaku di MKG, Central Park, Kota Kasablanka, Grand Indonesia, Lippo Mall Puri",Buy 2 Get 3,Buy 2 Get 3,"Berlaku setiap hari Jumat, Sabtu, Minggu","Berlaku setiap hari Jumat, Sabtu, Minggu",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000031,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Kartu Debit BRI berlogo Mastercard 
2. Seluruh jenis Kartu Kredit BRI",Loaf Bun,Berlaku di Loaf Bun Green Lake City,Diskon 30% maks. Rp50.000,Diskon 30% maks. Rp50.000,"1. Min. transaksi Rp50.000
2. Berlaku setiap hari","1. Min. transaksi Rp50.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000032,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card)",Onokabe,Berlaku di Onokabe Alam Sutera,Diskon 20% maks. Rp200.000,Diskon 20% maks. Rp200.000,"1. Min. transaksi Rp750.000
2. Berlaku setiap hari","1. Min. transaksi Rp750.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000033,No Call Type,Promotion,Promotion
Travel & Hotel,2024-03-27 22:37:23,Travel & Hotel,"Kartu Kredit BRI, kecuali Corporate Card",Leuweung Geledegan Ecolodge,,Diskon 10%,Diskon 10%,"Berlaku untuk harga kamar .
Promo tidak dapat digabungkan dengan promo lainnya","Berlaku untuk harga kamar .
Promo tidak dapat digabungkan dengan promo lainnya",2023-08-01 00:00:00,2024-07-31 00:00:00,PM-0000034,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 11:53:03,Food & Beverages,"Kartu Kredit,Kartu Debit,BRImo",Grand Hyatt,Jakarta,Buy 2 Get 3,Buy 2 Get 3,"1. Buffet at Grand Café
2. Berlaku untuk maksimal enam orang (termasuk dua orang gratis) per kartu/nama per hari
3. Berlaku untuk semua kartu kredit, debit BRI & QRIS BRImo","1. Buffet at Grand Café
2. Berlaku untuk maksimal enam orang (termasuk dua orang gratis) per kartu/nama per hari
3. Berlaku untuk semua kartu kredit, debit BRI & QRIS BRImo",2024-06-14 00:00:00,2024-12-31 00:00:00,PM-0000035,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-16 12:09:40,Food & Beverages,Kartu Kredit,Ben's Gong Tea,-,Diskon 20%,Diskon 20%,"1. Minimum transaksi Rp100.000
2. Maksimum transaksi Rp1.000.000
3. Promo tidak dapat digabungkan dengan promo lain
4. Syarat & ketentuan berlaku
5. Berlaku untuk seluruh Kartu Kredit BRI, termasuk Co-Branding, kecuali Corporate Card","1. Minimum transaksi Rp100.000
2. Maksimum transaksi Rp1.000.000
3. Promo tidak dapat digabungkan dengan promo lain
4. Syarat & ketentuan berlaku
5. Berlaku untuk seluruh Kartu Kredit BRI, termasuk Co-Branding, kecuali Corporate Card",2024-06-16 00:00:00,2024-07-31 00:00:00,PM-0000036,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-16 12:13:58,Food & Beverages,Kartu Kredit,Cupbob,-,Diskon Rp10.000,Diskon Rp10.000,"1. Minimal transaksi Rp50.000
2. Berlaku 1 kartu/hari/transaksi
3. Promo tidak dapat digabung dengan promo lain
4. Berlaku setiap tanggal 24 dan 25
5. Berlaku untuk seluruh Kartu Kredit BRI, tidak termasuk Corporate Card","1. Minimal transaksi Rp50.000
2. Berlaku 1 kartu/hari/transaksi
3. Promo tidak dapat digabung dengan promo lain
4. Berlaku setiap tanggal 24 dan 25
5. Berlaku untuk seluruh Kartu Kredit BRI, tidak termasuk Corporate Card",2024-06-16 00:00:00,2024-12-31 00:00:00,PM-0000037,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-16 12:32:32,Food & Beverages,"Kartu Kredit,Kartu Debit,BRImo,QRIS",Jco Reguler,-,Buy 2 Get 4 (Beli 2 Box Jpops Free 2 Beverage*),Buy 2 Get 4 (Beli 2 Box Jpops Free 2 Beverage*),"1. Khusus pengguna Debit BRI, BRImo, dan Kartu Kredit BRI
2. Berlaku setiap senin - jumat
3. 1x transaksi/akun/hari
4. Tidak berlaku kelipatan
5. Promo tidak dapat digabung dengan promo lain","1. Khusus pengguna Debit BRI, BRImo, dan Kartu Kredit BRI
2. Berlaku setiap senin - jumat
3. 1x transaksi/akun/hari
4. Tidak berlaku kelipatan
5. Promo tidak dapat digabung dengan promo lain",2024-06-16 00:00:00,2024-06-30 00:00:00,PM-0000038,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Seluruh jenis Kartu Debit BRI
2. Seluruh jenis Kartu Kredit BRI 
3. BRImo",Paul Le Cafe ( Payday Treat),Berlaku di selected store Paul Le Café,"Buy 2 Vienn, Free 1 Coffee","Buy 2 Vienn, Free 1 Coffee",Payday Promo (setiap tanggal 25-30/31 di setiap bulannya),Payday Promo (setiap tanggal 25-30/31 di setiap bulannya),,2024-09-30 00:00:00,PM-0000039,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card)",Kaiyo,"Sushi Kaiyo Lippo Mall Puri, Senayan Park dan Kaiyo Pantai Indah Kapuk",Diskon 20% maks Rp200.000,Diskon 20% maks Rp200.000,"1. Min. transaksi Rp350.000
2. Berlaku setiap hari","1. Min. transaksi Rp350.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000040,No Call Type,Promotion,Promotion
Groceries,2024-03-27 22:37:23,Groceries,"1. Kartu Debit BRI Prioritas dan BRI Private 
2. Kartu Kredit BRI (termasuk Co-Branding, kecuali Corporate Card)",The FoodHall,Seluruh Indonesia,Diskon 10% atau maks. Rp100.000,Diskon 10% atau maks. Rp100.000,"1. Min. transaksi Rp1.000.000
2. Berlaku setiap hari Senin s.d. Jumat
3. berlaku untuk 1 kartu/hari/transaksi
4. Tidak Berlaku Kelipatan","1. Min. transaksi Rp1.000.000
2. Berlaku setiap hari Senin s.d. Jumat
3. berlaku untuk 1 kartu/hari/transaksi
4. Tidak Berlaku Kelipatan",2023-08-01 00:00:00,2024-07-31 00:00:00,PM-0000041,No Call Type,Promotion,Promotion
Travel & Hotel,2024-03-27 22:37:23,Travel & Hotel,Kartu Debit & Kredit BRI kecuali Corporate Credit Card,GARUDA INDONESIA,pembelian tiket melalui Website www.garuda-indonesia.com dan FlyGaruda App,"Diskon hingga Rp700.000

1. Potongan harga untuk pemegang kartu Debit BRI :

• Potongan sebesar Rp200.000 untuk minimum transaksi Rp3.000.000

• Potongan sebesar Rp450.000 untuk minimum transaksi Rp5.000.000

• Potongan sebesar Rp700.000 untuk minimum transaksi Rp7.000.000

2. Potongan harga untuk pemegang kartu Kredit BRI :

• Potongan sebesar Rp150.000 untuk minimum transaksi Rp3.000.000

• Potongan sebesar Rp300.000 untuk minimum transaksi Rp5.000.000

• Potongan sebesar Rp700.000 untuk minimum transaksi Rp8.000.000","Diskon hingga Rp700.000

1. Potongan harga untuk pemegang kartu Debit BRI :

• Potongan sebesar Rp200.000 untuk minimum transaksi Rp3.000.000

• Potongan sebesar Rp450.000 untuk minimum transaksi Rp5.000.000

• Potongan sebesar Rp700.000 untuk minimum transaksi Rp7.000.000

2. Potongan harga untuk pemegang kartu Kredit BRI :

• Potongan sebesar Rp150.000 untuk minimum transaksi Rp3.000.000

• Potongan sebesar Rp300.000 untuk minimum transaksi Rp5.000.000

• Potongan sebesar Rp700.000 untuk minimum transaksi Rp8.000.000","- Promo berlaku setiap hari Senin hingga kamis dengan menggunakan kode promo GABRI.
- Periode Perjalanan hingga 30 Juni 2024
- Tidak berlaku kelipatan.

- Tidak dapat digabung dengan promo lainnya.

- Potongan akan diporses selama kuota harian masih tersedia.

- Untuk mendapatkan potongan harga Pemegang Kartu harus memasukkan kode promo di halaman Website atau Aplikasi FlyGaruda sebelum memilih penerbangan.

- Potongan harga diproses pada tahapan pembayaran dimana sistem akan langsung memotong nilai transaksi.

- Potongan harga hanya berlaku untuk pembayaran menggunakan mata uang Rupiah (IDR).

- Berlaku Black Out Datedengan rute seperti yang tercantum pada website Garuda.

Ketentuan refund, reissued dan rescheduledari tiket pesawat berlaku sebagaimana aturan yang berlaku di Garuda Indonesia sesuai sub-class tiket masing-masing

Dalam hal terjadinya refund, pelanggan dapat mengirimkan email ke e-booking@garuda-indonesia.com

Dalam hal terjadinyareschedule dan reissued, pelanggan dapat menghubungi call center Garuda Indonesia di nomor 0804 1 807 807 atau 021 2351 9999, serta live chat.

Ketentuan reschedule dan reissueddiluar periode promo untuk tiket dengan harga diskon special dari tiket pesawat berlaku untuk upsell pada published fare.","- Promo berlaku setiap hari Senin hingga kamis dengan menggunakan kode promo GABRI.
- Periode Perjalanan hingga 30 Juni 2024
- Tidak berlaku kelipatan.

- Tidak dapat digabung dengan promo lainnya.

- Potongan akan diporses selama kuota harian masih tersedia.

- Untuk mendapatkan potongan harga Pemegang Kartu harus memasukkan kode promo di halaman Website atau Aplikasi FlyGaruda sebelum memilih penerbangan.

- Potongan harga diproses pada tahapan pembayaran dimana sistem akan langsung memotong nilai transaksi.

- Potongan harga hanya berlaku untuk pembayaran menggunakan mata uang Rupiah (IDR).

- Berlaku Black Out Datedengan rute seperti yang tercantum pada website Garuda.

Ketentuan refund, reissued dan rescheduledari tiket pesawat berlaku sebagaimana aturan yang berlaku di Garuda Indonesia sesuai sub-class tiket masing-masing

Dalam hal terjadinya refund, pelanggan dapat mengirimkan email ke e-booking@garuda-indonesia.com

Dalam hal terjadinyareschedule dan reissued, pelanggan dapat menghubungi call center Garuda Indonesia di nomor 0804 1 807 807 atau 021 2351 9999, serta live chat.

Ketentuan reschedule dan reissueddiluar periode promo untuk tiket dengan harga diskon special dari tiket pesawat berlaku untuk upsell pada published fare.",2023-09-04 00:00:00,2023-12-28 00:00:00,PM-0000042,No Call Type,Promotion,Promotion
Travel & Hotel,2024-03-27 22:37:23,Travel & Hotel,- Transaksi menggunakan Kartu Debit BRI/Kartu Kredit BRI/BRImo,JAYA PROPERTY,JAYA PROPERTY,Promo 1 : Buy 2 get 1 untuk nasabah BRI,Promo 1 : Buy 2 get 1 untuk nasabah BRI,"- Tidak berlaku kelipatan

- Berlaku pada hari Senin s.d. Jumat

- Transaksi dilakukan menggunakan EDC BRI

- Berlaku untuk 1 user/kartu/hari/transaksi","- Tidak berlaku kelipatan

- Berlaku pada hari Senin s.d. Jumat

- Transaksi dilakukan menggunakan EDC BRI

- Berlaku untuk 1 user/kartu/hari/transaksi",,2024-11-30 00:00:00,PM-0000043,No Call Type,Promotion,Promotion
Fashion,2024-06-14 10:57:42,Fashion,"Kartu Kredit,Kartu Debit",Giordano dan Giordano Kids,Seluruh indonesia,Diskon 10%,Diskon 10%,"1. Minimal transaksi Rp500.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp1.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp1.500.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp2.000.000
6. Berlaku setiap hari","1. Minimal transaksi Rp500.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp1.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp1.500.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp2.000.000
6. Berlaku setiap hari",2023-10-01 00:00:00,2024-09-30 00:00:00,PM-0000044,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 14:54:13,Food & Beverages,"Kartu Kredit,Kartu Debit,BRImo",Grand Hyatt,Jakarta,Buy 2 Get 3,Buy 2 Get 3,"1. Berlaku untuk minimal pembelian 2 hamper berukuran besar dengan 1 hamper berukuran kecil 
2. Berlaku untuk hampers di Grand Hyatt Jakarta pada program hari besar seperti Ramadan, mooncakes dan Natal 
3. Berlaku maksimal 6 hampers (termasuk 2 hampers gratis) per kartu/nama per hari","1. Berlaku untuk minimal pembelian 2 hamper berukuran besar dengan 1 hamper berukuran kecil 
2. Berlaku untuk hampers di Grand Hyatt Jakarta pada program hari besar seperti Ramadan, mooncakes dan Natal 
3. Berlaku maksimal 6 hampers (termasuk 2 hampers gratis) per kartu/nama per hari",2024-06-14 00:00:00,2024-12-31 00:00:00,PM-0000045,No Call Type,Promotion,Promotion
Other,2024-06-16 13:35:24,Other,"Kartu Debit,Kartu Kredit",Axel Dental,"Berlaku outlet Buaran, Condet, Serpong, Bintaro, Depok, dan Jatiwaringi",Diskon 20%,Diskon 20%,"1. Minimal transaksi Rp500.000
2. Maksimal diskon Rp100.000
3. Berlaku Kartu Kredit BRI (kecuali Corporate Card) dan Debit BRI
4. Tidak berlaku kelipatan
5. Berlaku pembelian penuh
6. Berlaku untuk 1 transaksi / kartu / hari","1. Minimal transaksi Rp500.000
2. Maksimal diskon Rp100.000
3. Berlaku Kartu Kredit BRI (kecuali Corporate Card) dan Debit BRI
4. Tidak berlaku kelipatan
5. Berlaku pembelian penuh
6. Berlaku untuk 1 transaksi / kartu / hari",2024-06-16 00:00:00,2024-09-30 00:00:00,PM-0000046,No Call Type,Promotion,Promotion
Travel & Hotel,2024-06-16 13:37:54,Travel & Hotel,"Kartu Kredit,Kartu Debit,BRImo,QRIS",The Gruives Suites By Aston,-,Diskon 10%,Diskon 10%,"1. Berlaku untuk seluruh Debit BRI, Kartu Kredit BRI dan BRImo
2. Berlaku setiap hari
3. Berlaku untuk 1 kali transaksi/hari/nasabah
4. Untuk room & FNB di The grove suite by grand aston","1. Berlaku untuk seluruh Debit BRI, Kartu Kredit BRI dan BRImo
2. Berlaku setiap hari
3. Berlaku untuk 1 kali transaksi/hari/nasabah
4. Untuk room & FNB di The grove suite by grand aston",2024-06-16 00:00:00,2024-10-31 00:00:00,PM-0000047,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card)",Kintan Buffet,"Berlaku di MKG, Central Park, Kota Kasablanka, Grand Indonesia, Lippo Mall Puri",Diskon 20% maks. Rp200.000,Diskon 20% maks. Rp200.000,"1. Min. transaksi Rp750.000
2. Berlaku setiap hari","1. Min. transaksi Rp750.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000048,No Call Type,Promotion,Promotion
Travel & Hotel,2024-03-27 22:37:23,Travel & Hotel,BRImo,Wisata Rohani dengan BRIguna,MakTour (atau agent tranvel yang telah bekerjasama dengan BRI) untuk pemesanan tour umroh atau holyland,"- Cashback Rp.1.500.000,-

- Bunga mulai dari 0,75% efektif/bulan

- Tenor hingga 15 tahun","- Cashback Rp.1.500.000,-

- Bunga mulai dari 0,75% efektif/bulan

- Tenor hingga 15 tahun","- Apply via BRImo cair 15 menit

- Nasabah pencairan BRIguna melalui BRImo

- Minimal pencairan BRIguna melalui BRImo Rp 30 juta 

- Nasabah menghubungi MakTour (atau agent tranvel yang telah bekerjasama dengan BRI) untuk pemesanan tour umroh atau holyland

- Nasabah menunjukkan bukti pencairan BRIguna melalui BRImo (screen capture)

- Apabila nasabah telah bertransaksi paket tour, agent travel mengirimkan data nasabah ke BRI di email , data berupa:

- Nama Lengkap

- Nomor rekening BRI pencairan BRIguna

- Bukti transaksi pembelian tour

- BRI akan memberikan cashback ke rekening BRI nasabah maksimal H+30 dari email diterima dari agent travel","- Apply via BRImo cair 15 menit

- Nasabah pencairan BRIguna melalui BRImo

- Minimal pencairan BRIguna melalui BRImo Rp 30 juta 

- Nasabah menghubungi MakTour (atau agent tranvel yang telah bekerjasama dengan BRI) untuk pemesanan tour umroh atau holyland

- Nasabah menunjukkan bukti pencairan BRIguna melalui BRImo (screen capture)

- Apabila nasabah telah bertransaksi paket tour, agent travel mengirimkan data nasabah ke BRI di email , data berupa:

- Nama Lengkap

- Nomor rekening BRI pencairan BRIguna

- Bukti transaksi pembelian tour

- BRI akan memberikan cashback ke rekening BRI nasabah maksimal H+30 dari email diterima dari agent travel",,,PM-0000049,No Call Type,Promotion,Promotion
Travel & Hotel,2024-03-27 22:37:23,Travel & Hotel,Kartu Kredit BRI berlogo Visa,Booking.com,,Diskon 10%,Diskon 10%,"Promo tidak dapat digabung dengan promo lainnya
Info lebih lanjut : www.booking.com/visaid","Promo tidak dapat digabung dengan promo lainnya
Info lebih lanjut : www.booking.com/visaid",,2024-12-31 00:00:00,PM-0000050,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 10:33:01,Food & Beverages,"Kartu Debit,BRImo,QRIS",Kopi Kenangan,"Seluruh outlet kopi kenangan kecuali bank lounge, airport, dan stasiun KCJB halim",Diskon 40%,Diskon 40%,"1. Minimal transaksi Rp30.000 dan maksimal diskon Rp12.000
2. Berlaku menggunakan Debit BRI dan QRIS di Brimo
3. Promo berlaku di seluruh outlet kopi kenangan kecuali bank lounge, airport, dan stasiun KCJB halim
4. Berlaku hari senin-jumat","1. Minimal transaksi Rp30.000 dan maksimal diskon Rp12.000
2. Berlaku menggunakan Debit BRI dan QRIS di Brimo
3. Promo berlaku di seluruh outlet kopi kenangan kecuali bank lounge, airport, dan stasiun KCJB halim
4. Berlaku hari senin-jumat",2024-06-14 00:00:00,2024-06-30 00:00:00,PM-0000051,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 14:55:57,Food & Beverages,"Kartu Kredit,Kartu Debit",Simpang Raya,-,Diskon 20%,Diskon 20%,"1. Minimal transaksi Rp350.000 dan maksimal diskon Rp100.000
2. Promo tidak dapat digabungkan dengan promo lainnya
3. Promo berlaku setiap hari Senin s.d. Jumat
4. Berlaku untuk 1 kartu / hari / transaksi","1. Minimal transaksi Rp350.000 dan maksimal diskon Rp100.000
2. Promo tidak dapat digabungkan dengan promo lainnya
3. Promo berlaku setiap hari Senin s.d. Jumat
4. Berlaku untuk 1 kartu / hari / transaksi",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000052,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 16:07:34,Food & Beverages,"Kartu Debit,BRImo",Janji Jiwa,Selected store,"1. Diskon 25% 
2. Buy 1 Get 1 free any drink","1. Diskon 25% 
2. Buy 1 Get 1 free any drink","1. Diskon 25%
a. Maksimum diskon Rp 10.000 (sepuluh ribu rupiah), tanpa minimum purchase	
b. Berlaku setiap hari Senin – Kamis (Weekdays only)	
c. Tidak dapat digabung dengan promo lainnya	
d. Tidak Berlaku kelipatan	
e. Khusus untuk pembelian dine-in / take away	
f. 1 (satu) kartu/transaksi /hari	

2. Buy 1 Get 1 free any drink (Pay with the highest price)	
a. Berlaku setiap tanggal 25 – 27 setiap bulan 3 (tiga) hari per bulan hingga Juni 2024	
b. Tidak dapat digabung dengan promo lainnya	
c. Tidak Berlaku kelipatan	
d. Khusus untuk pembelian dine-in/ take away	
e. 1 (satu) kartu / transaksi / hari","1. Diskon 25%
a. Maksimum diskon Rp 10.000 (sepuluh ribu rupiah), tanpa minimum purchase	
b. Berlaku setiap hari Senin – Kamis (Weekdays only)	
c. Tidak dapat digabung dengan promo lainnya	
d. Tidak Berlaku kelipatan	
e. Khusus untuk pembelian dine-in / take away	
f. 1 (satu) kartu/transaksi /hari	

2. Buy 1 Get 1 free any drink (Pay with the highest price)	
a. Berlaku setiap tanggal 25 – 27 setiap bulan 3 (tiga) hari per bulan hingga Juni 2024	
b. Tidak dapat digabung dengan promo lainnya	
c. Tidak Berlaku kelipatan	
d. Khusus untuk pembelian dine-in/ take away	
e. 1 (satu) kartu / transaksi / hari",2024-06-14 00:00:00,2024-06-30 00:00:00,PM-0000053,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 16:22:29,Food & Beverages,"Kartu Kredit,Kartu Debit,QRIS",Chez Takiro,-,Diskon 50%,Diskon 50%,"1. Minimal transaksi Rp50.000
2. Berlaku setiap hari
3. Berlaku untuk Debit BRI, Kartu Kredit BRI, BRIZZI, dan QRIS BRImo hanya untuk 1 kali transaksi/hari
4. Tidak berlaku kelipatan
5. Promo tidak dapat digabung dengan promo lainnya
6. Periode 1 Januari - 31 Desember 2024","1. Minimal transaksi Rp50.000
2. Berlaku setiap hari
3. Berlaku untuk Debit BRI, Kartu Kredit BRI, BRIZZI, dan QRIS BRImo hanya untuk 1 kali transaksi/hari
4. Tidak berlaku kelipatan
5. Promo tidak dapat digabung dengan promo lainnya
6. Periode 1 Januari - 31 Desember 2024",2024-06-14 00:00:00,2024-12-31 00:00:00,PM-0000054,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-16 13:15:50,Food & Beverages,"Kartu Kredit,Kartu Debit",Seribu Rasa,Seluruh outlet Seribu Rasa,Diskon 20%,Diskon 20%,"1. Minimal transaksi Rp1.000.000
2. Maksimal diskon Rp200.000
3. Berlaku Kartu Debit Britama Bisnis, Kartu Debit Prioritas, Kartu Debit Private dan Kartu Kredit Platinum, JCB Platinum, World Access, Infinite
4. Berlaku hari kamis-minggu
5. Berlaku di seluruh outlet Seribu Rasa","1. Minimal transaksi Rp1.000.000
2. Maksimal diskon Rp200.000
3. Berlaku Kartu Debit Britama Bisnis, Kartu Debit Prioritas, Kartu Debit Private dan Kartu Kredit Platinum, JCB Platinum, World Access, Infinite
4. Berlaku hari kamis-minggu
5. Berlaku di seluruh outlet Seribu Rasa",2024-06-16 00:00:00,2024-12-31 00:00:00,PM-0000055,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card)",Putu Made,Berlaku di Putu Made PIK Avenue dan Senayan Park,Diskon 20% maks. Rp200.000,Diskon 20% maks. Rp200.000,"1. Min. transaksi Rp350.000
2. Berlaku setiap hari","1. Min. transaksi Rp350.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000056,No Call Type,Promotion,Promotion
